,open,high,low,close
2020-01-01 01:59:59.999,131.61,133.68,128.17,129.16
2020-01-02 01:59:59.999,129.16,133.05,128.68,130.77
2020-01-03 01:59:59.999,130.72,130.78,126.38,127.19
2020-01-04 01:59:59.999,127.19,135.14,125.88,134.35
2020-01-05 01:59:59.999,134.37,135.85,132.5,134.2
2020-01-06 01:59:59.999,134.2,138.19,134.19,135.37
2020-01-07 01:59:59.999,135.37,144.41,134.86,144.15
2020-01-08 01:59:59.999,144.14,145.31,138.76,142.8
2020-01-09 01:59:59.999,142.8,147.77,137.03,140.72
2020-01-10 01:59:59.999,140.76,141.5,135.3,137.74
2020-01-11 01:59:59.999,137.73,145.17,135.32,144.84
2020-01-12 01:59:59.999,144.83,148.05,142.09,142.38
2020-01-13 01:59:59.999,142.4,146.6,141.76,146.54
2020-01-14 01:59:59.999,146.56,147.0,142.27,143.58
2020-01-15 01:59:59.999,143.58,171.7,143.51,165.64
2020-01-16 01:59:59.999,165.6,171.98,159.2,166.4
2020-01-17 01:59:59.999,166.4,167.4,157.8,164.21
2020-01-18 01:59:59.999,164.24,174.81,162.14,169.85
2020-01-19 01:59:59.999,169.92,179.5,164.92,174.14
2020-01-20 01:59:59.999,174.1,178.05,161.66,166.79
2020-01-21 01:59:59.999,166.79,169.33,161.24,166.87
2020-01-22 01:59:59.999,166.86,170.32,164.8,169.49
2020-01-23 01:59:59.999,169.48,171.47,166.03,168.07
2020-01-24 01:59:59.999,168.07,168.2,159.21,162.81
2020-01-25 01:59:59.999,162.85,164.45,155.55,162.54
2020-01-26 01:59:59.999,162.51,162.79,157.61,160.35
2020-01-27 01:59:59.999,160.36,168.08,159.41,167.86
2020-01-28 01:59:59.999,167.91,172.56,165.22,170.08
2020-01-29 01:59:59.999,170.04,176.2,170.03,175.64
2020-01-30 01:59:59.999,175.58,178.45,173.33,173.72
2020-01-31 01:59:59.999,173.68,187.0,170.93,184.69
2020-02-01 01:59:59.999,184.71,185.82,175.22,179.99
2020-02-02 01:59:59.999,179.94,184.28,179.23,183.6
2020-02-03 01:59:59.999,183.63,193.43,179.1,188.44
2020-02-04 01:59:59.999,188.48,195.19,186.62,189.69
2020-02-05 01:59:59.999,189.74,191.6,184.69,188.91
2020-02-06 01:59:59.999,188.91,207.61,188.19,203.78
2020-02-07 01:59:59.999,203.78,216.33,201.02,213.19
2020-02-08 01:59:59.999,213.16,225.0,213.14,223.33
2020-02-09 01:59:59.999,223.36,227.75,213.22,223.05
2020-02-10 01:59:59.999,223.01,230.65,222.86,228.49
2020-02-11 01:59:59.999,228.53,229.4,216.37,222.89
2020-02-12 01:59:59.999,222.89,239.15,218.17,236.69
2020-02-13 01:59:59.999,236.69,275.34,236.69,265.74
2020-02-14 01:59:59.999,265.74,277.69,256.08,268.32
2020-02-15 01:59:59.999,268.34,287.15,260.28,285.15
2020-02-16 01:59:59.999,285.11,288.41,261.86,264.88
2020-02-17 01:59:59.999,264.91,274.0,237.41,258.85
